Category,Product name,Qty. Sold,Revenue,Date,Day,Month,Year,Weekday,Document Number,Transaction Type,Source File
Drink,500ml San Pellegrino Carbonated Water (KR),2.0,4.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Pork) (KR),32.0,41.94,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Pork) (KR),9.0,15.98,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Pork) (KR),1.0,6.99,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Pork) (KR),15.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Pork) (KR),29.0,15.98,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Veg) (KR),13.0,34.95,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Veg) (KR),8.0,15.98,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Age Gyoza (Veg) (KR),8.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Bamboo Shoots (KR),1.0,1.99,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Beansprouts (KR),4.0,7.96,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Beansprouts (KR),1.0,2.49,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Beef (KR),2.0,11.98,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Beef (KR),1.0,5.99,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Beef Donburi (KR),1.0,11.99,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Miso (KR),1.0,17.99,2026-01-26,26,1,2026,Monday,4415036.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Miso (KR),1.0,17.99,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Miso (KR),1.0,20.99,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Miso (KR),1.0,2.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Original (KR),12.0,155.91,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Original (KR),2.0,33.98,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Original (KR),1.0,19.99,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Plain Ramen (KR),2.0,2.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Shoyu (KR),4.0,67.96,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Spicy (KR),1.0,20.99,2026-01-26,26,1,2026,Monday,4415040.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Spicy (KR),2.0,41.98,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Spicy (KR),8.0,72.97,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Spicy (KR),13.0,153.92,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Beef Spicy Jalapeno Ramen (KR),4.0,23.99,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Bottle Water (KR),2.0,5.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Bottle Water (KR),1.0,2.5,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Curry Ramen (KR),1.0,22.99,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Chicken Don (KR),1.0,8.99,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Miso (KR),5.0,84.95,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Miso (KR),1.0,19.99,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Original (KR),8.0,95.94,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Original (KR),2.0,31.98,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Original (KR),1.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Original (KR),1.0,18.99,2026-01-26,26,1,2026,Monday,4415044.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Original (KR),4.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Plain Ramen (KR),7.0,0.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Shoyu (KR),2.0,0.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Shoyu (KR),1.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Spicy Garlic Ramen (KR),11.0,122.93,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Spicy Garlic Ramen (KR),1.0,16.99,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Spicy Garlic Ramen (KR),3.0,3.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Spicy Jalapeno (KR),2.0,2.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Chicken Spicy Jalapeno (KR),2.0,2.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke (KR),26.0,20.93,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke (KR),2.0,0.0,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke (KR),2.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke (KR),3.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke Zero (KR),9.0,14.95,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke Zero (KR),5.0,3.0,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke Zero (KR),8.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Coke Zero (KR),8.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Combo Ramen (KR),1.0,0.0,2026-01-26,26,1,2026,Monday,4415036.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Combo Ramen (KR),11.0,0.0,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Combo Ramen (KR),101.0,0.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Corn (KR),4.0,7.96,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Corn (KR),1.0,2.49,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Corn (KR),1.0,2.49,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Other,Deliverect DoorDash Discount (KR),1.0,-4.0,2026-01-26,26,1,2026,Monday,4415040.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Other,Deliverect DoorDash Discount (KR),10.0,-183.94,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Other,Deliverect SkipTheDishes Discount (KR),2.0,-39.98,2026-01-26,26,1,2026,Monday,4415044.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Other,Deliverect Uber Eats Discount (KR),23.0,-623.73,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Other,Deliverect Uber Eats Discount (KR),9.0,-302.86,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Diet Coke (KR),9.0,5.98,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Diet Coke (KR),1.0,0.0,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Diet Coke (KR),8.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Edamame (KR),2.0,11.98,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),1.0,2.49,2026-01-26,26,1,2026,Monday,4415040.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),5.0,12.45,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),1.0,1.99,2026-01-26,26,1,2026,Monday,4415041.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),2.0,4.98,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),4.0,9.96,2026-01-26,26,1,2026,Monday,4415044.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),16.0,39.84,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),34.0,67.66,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Egg (KR),1.0,1.99,2026-01-26,26,1,2026,Monday,4415036.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Extra Soup Beef (KR),1.0,5.49,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Fried Bean Curb (KR),2.0,5.98,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Fried Bean Curb (KR),1.0,2.99,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Garlic Oil (KR),2.0,4.98,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Ginger Ale (KR),6.0,0.0,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Ginger Ale (KR),4.0,0.0,2026-01-26,26,1,2026,Monday,4415038.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Ginger Ale (KR),2.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Drink,Ginger Ale (KR),9.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Gohan (KR),1.0,2.99,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Golden Sesame Ramen (KR),14.0,199.9,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Main,Golden Sesame Ramen (KR),6.0,137.94,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Topping,Grated Garlic (KR),3.0,5.97,2026-01-26,26,1,2026,Monday,4415037.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Gyoza (Pork) 3 Piece (KR),1.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Gyoza (Pork) 3 Piece (KR),3.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Gyoza (Veg) 3 Piece (KR),2.0,0.0,2026-01-26,26,1,2026,Monday,4415039.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
Side,Gyoza (Veg) 3 Piece (KR),1.0,0.0,2026-01-26,26,1,2026,Monday,4415043.0,Cash Sale,SalesbyItemDetail0126to02012026.csv
